      t[ns]     EtO1x     EtO1y     EtO1z     EtO2x     EtO2y     EtO2z     EtO3x     EtO3y     EtO3z     EtO4x     EtO4y     EtO4z     EtO5x     EtO5y     EtO5z     EtO6x     EtO6y     EtO6z     EtO7x     EtO7y     EtO7z     EtO8x     EtO8y     EtO8z     EtO9x     EtO9y     EtO9z    EtO10x    EtO10y    EtO10z    EtO11x    EtO11y    EtO11z    EtO12x    EtO12y    EtO12z    EtO13x    EtO13y    EtO13z    EtO14x    EtO14y    EtO14z    EtO15x    EtO15y    EtO15z    EtO16x    EtO16y    EtO16z    EtO17x    EtO17y    EtO17z    EtO18x    EtO18y    EtO18z    EtO19x    EtO19y    EtO19z    EtO20x    EtO20y    EtO20z    EtO21x    EtO21y    EtO21z    EtO22x    EtO22y    EtO22z    EtO23x    EtO23y    EtO23z    EtO24x    EtO24y    EtO24z    EtO25x    EtO25y    EtO25z    EtO26x    EtO26y    EtO26z    EtO27x    EtO27y    EtO27z
        0.04     15.41     12.28     12.48     13.16     11.82     15.87     13.78     11.40     19.01     13.14     15.80     10.02     13.82     17.58     15.54     14.42     16.13     18.41     14.72     21.30     11.68     14.34     22.49     14.41     14.32     21.42     19.47     19.67      8.01     11.03     19.27     10.52     15.95     18.57     11.68     18.98     20.14     16.56     11.72     19.68     15.70     14.19     19.48     15.61     18.99     19.16     20.71     10.48     19.41     20.83     14.25     20.00     20.73     18.28      8.34     11.74     11.34     10.09     11.66     14.15      9.16     11.79     18.78      9.31     16.23     10.02      9.38     16.98     14.18      8.78     16.31     18.53      9.41     21.17     10.21      9.30     21.21     14.56      9.65     20.86     18.59
        0.06     13.57     12.27     10.50      9.78     13.55     12.87     13.11      9.19     19.53     15.95     14.53     10.05     11.55     17.18     16.08     14.54     19.78     18.10     17.99     20.08      9.69     24.58     23.35      7.32     16.07     15.67     15.72     21.33      6.38     14.13     16.31     10.11     18.24     23.47     13.20     14.21     18.05     11.09     12.35     20.74     15.70     12.98     19.88     13.72     20.64     18.32     23.93      6.62     22.23     22.62     16.43     23.59     19.30     22.10     11.11      6.97     12.55     11.62     12.50     14.74      8.39     11.62     17.45     12.75      9.83      5.90      6.25     18.43     16.65     12.18     14.61     16.77      9.85     21.37     11.24      7.65     13.73     19.74      7.37     21.44     19.15
        0.08     16.47     15.08      9.17      8.43     13.71     14.51      9.89      7.07     16.55     10.55     17.41     12.07     10.73     17.18     19.75     16.18     21.65     21.75     15.83     20.17     12.31     24.15     22.85      7.18     18.33     15.19     12.28     20.57      9.53     11.46     19.62     12.47     18.82     28.50      5.72     19.47     15.47     11.71     14.86     25.20     14.93     14.09     19.72     15.73     17.64     18.41     23.93      8.89     21.42     19.99     16.71     21.16     22.46     17.83      9.12     10.31      9.07     13.61      8.31     17.29      3.34      8.55     17.43     16.28     10.86      6.13      3.42     18.73     20.29      8.06      9.42     19.19      9.65     21.61     16.50      2.68     16.28     20.93      6.80     19.65     24.42
        0.10     13.16     13.91     10.16      8.48     10.74     12.99     -0.16      2.60     14.91     13.95     15.42     16.31      8.00     15.98     18.53     21.57     23.77     19.59     15.81     19.12     17.57     29.79     23.99      5.47     17.82     18.05     14.89     21.86     15.15     13.17     20.34     13.13     24.85     30.54     -0.65     20.71     14.99     10.63     14.14     23.36     14.68     21.61     11.32     10.40     21.07     12.75     24.45     14.98     18.97     16.05     18.24     24.63     21.13     15.30      7.50      8.08     10.30     17.04      6.58     14.52     -3.82      4.95     11.88     12.63     11.65      4.56      8.10     19.26     24.21      4.56      7.69     11.46     10.34     21.87     20.30      4.13     11.03     18.67      8.23     14.91     29.59
        0.12      6.12     12.90      7.90      6.92     14.16     12.27     -5.65      3.40     13.54     14.62     15.44     16.18     10.70     17.19     21.29     23.08     28.56     18.86     17.81     22.63     25.51     29.55     26.58     12.77     22.42     16.87     17.80     23.50     13.52     13.89     22.44     17.40     23.63     34.43      0.98     19.49     13.01     10.81     18.73     26.44     19.59     20.75     13.17     12.52     20.85     10.45     20.79     11.09     16.71     16.12     22.28     24.12     19.35     10.35     13.27      2.83     11.78     18.67      7.32     19.06     -8.01      9.27     10.21      7.44      9.17      5.28      6.51     19.69     20.44      4.99      8.84     18.38     13.59     20.83     22.38      4.19     14.33     17.61      3.42     17.10     24.89
        0.14     19.65     13.43      0.85     -0.21     20.04      6.03     -5.73      0.65     17.27     12.68     18.23     17.69      7.16     18.33     26.28     27.36     24.35     24.56     15.49     20.79     26.60     34.25     25.73     16.17     23.70     15.29     19.13     29.57     17.72     18.47     18.43     16.58     14.58     35.01      1.14     25.58     12.90     14.13     16.07     23.44     17.40     21.04     10.10     10.63     26.01     13.35     22.33      9.94     13.17     12.73     21.77     20.92     19.45      7.81     13.87     -0.74     12.18     17.15     -2.18     15.38     -6.58      9.12      9.41      3.49      6.91      6.93      8.57     16.98     28.19      1.79     10.36     12.62     18.50     24.94     22.09      6.91     11.33     17.63      3.54     15.61     22.39
        0.16     24.04     15.17     -1.19      1.46     19.26      3.92     -9.20     -2.85     17.96     16.50     19.27     21.55     17.43     20.35     29.28     30.55     23.93     27.15     20.94     24.64     30.47     36.74     25.23     17.17     22.16     16.04     14.42     29.05     19.00      9.74     15.97     20.36     16.13     32.81      2.42     30.02     13.99     16.74     13.56     22.56     16.47     18.95      6.68     15.21     23.69     11.94     22.65      6.49     13.30     12.43     22.26     22.07     18.52      7.66     16.69     -4.76      7.24     15.88     -5.71     20.05     -4.89     10.02      9.02      5.06      6.71      7.57      5.95     16.02     30.68      0.99     11.24     15.04     25.61     25.63     26.81      9.53      8.18     18.04      5.88     15.62     20.55
        0.18     23.36     19.40      1.74      2.15     23.56      8.01     -8.78     -1.75     16.79     15.45     12.06     16.59     14.12     21.03     28.44     26.29     21.55     24.24     19.82     26.47     27.06     38.16     22.88     15.79     24.89     19.78     12.84     27.00     16.28     10.53     14.08     21.68     16.74     26.88      3.30     31.28     18.64     12.30     10.61     29.14     15.50     14.47      6.67     15.12     23.72      7.75     20.93     10.32     16.45      5.62     19.12     27.60     18.31      6.53     17.55     -7.96      4.66     12.22    -19.86     22.11     -4.50      6.17      5.38      6.47      5.86      7.74      4.62     19.33     28.25     -3.80     11.28      8.62     27.61     28.20     24.95     13.77      4.93      9.61     10.09      7.00     18.10
        0.20     26.18     20.77      1.72      1.19     24.99     10.24    -13.18     -1.87     16.82     16.85     12.65     14.36     23.35     20.41     27.52     27.71     24.21     25.54     22.73     23.83     28.25     47.85     22.74     11.65     21.53     24.21     17.39     21.73     15.64      9.65     15.23     16.02     13.46     25.90     12.79     34.95     13.32      8.73      1.45     32.58     17.95     19.20      6.35     20.89     23.27      8.40     18.92      7.54     14.29      2.99     23.55     29.00     16.92      0.96     20.79    -14.18      2.38     15.07    -24.95     23.51     -5.91      7.06     12.22      3.32     -1.26      6.52      5.68     24.28     29.94     -4.41     13.74     10.60     23.61     26.75     21.51     18.75      0.18     12.61     12.61      9.42     15.95
        0.22     26.00     23.18     -0.57      1.20     22.20     13.39    -14.80     -1.69     23.78     17.97      4.27     12.33     20.29     21.63     18.86     31.58     26.82     31.17     27.82     29.37     30.10     49.62     22.55     11.68     19.75     26.27     15.31     25.60     11.65     12.09     19.13     13.13     15.43     28.31     18.69     34.32     18.04      7.84      5.51     31.96     14.75     16.92      8.87     19.68     19.51     11.94     17.21      3.66      9.82     -0.04     23.94     32.88     12.67     -4.12     20.14    -15.26      0.43     13.38    -22.86     26.80     -6.98      6.18     13.79      7.56     -1.72     13.04      6.67     16.46     23.08     -4.06     16.08     14.83     20.62     25.96     20.31     15.74      1.18     14.06     11.89      6.81     22.31
